Name	Artist	Composer	Album	Grouping	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equaliser	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Take On Me	A-Ha					4862151	227			1		2011	13/09/2013 21:27	24/09/2013 23:49	169	44100		MPEG audio file		www.dvdvideosoft.com	6	28/11/2013 1:39			100	C:\Users\Emile\Music\iTunes\iTunes Media\Music\A-Ha\Unknown Album\01 Take On Me.mp3
Sail	Awolnation		Megalithic Symphony (Advance)		Electronic	10657301	259			10		2011	13/09/2013 21:00	24/09/2013 23:49	320	44100		MPEG audio file		reference libFLAC 1.2.1 20070917	16	2/01/2014 17:56	1	28/10/2013 18:45	100	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Awolnation\Megalithic Symphony (Advance)\10 Sail.mp3
A Lap Dance Is So Much Better When The Stripper Is Crying	The Bloodhound Gang		Hooray For Boobies		Alternative	11113183	337	1	1	14	45	2000	9/02/2012 16:03	1/11/2013 20:20	256	44100		AAC audio file			1	28/12/2013 21:44	1	28/12/2013 21:15	100	C:\Users\Emile\Music\iTunes\iTunes Media\Music\The Bloodhound Gang\Hooray For Boobies\14 A Lap Dance Is So Much Better Whe.m4a
Down With The Sickness	Disturbed		The Sickness		Alternative	9686069	278	1	1	4	12	2002	9/02/2012 15:29	1/11/2013 20:20	256	44100		AAC audio file			3	9/11/2013 16:40			100	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Disturbed\The Sickness\04 Down With The Sickness.m4a
In Dubstep We Trust 3	DJ Ravine				Wubstep	66071919	1651						26/12/2013 17:46	24/09/2013 23:49	320	44100		MPEG audio file			3	6/01/2014 1:55	1	19/12/2013 16:03	100	C:\Users\Emile\Music\iTunes\iTunes Media\Music\DJ Ravine\Unknown Album\In Dubstep We Trust 3.mp3
Sooth Your Pain	Dub FX		Everythinks A Ripple		Hip-Hop	8638027	215			2	14	2009	13/09/2013 21:27	24/09/2013 23:49	320	44100		MPEG audio file			10	18/12/2013 20:46			100	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Dub FX\Everythinks A Ripple\02 Sooth Your Pain.mp3
Flow (feat. Mr. Woodnote & Flower Fairy)	Dub FX		Everythinks A Ripple		Hip-Hop	10766080	269			7	14	2009	25/04/2013 15:20	24/09/2013 23:49	320	44100		MPEG audio file			4	18/12/2013 21:15			100	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Dub FX\Everythinks A Ripple\07 Flow (feat. Mr. Woodnote & Flower.mp3
Love Me Or Not	Dub FX		Everythinks A Ripple		Hip-Hop	9693183	241			13	14	2009	13/09/2013 21:28	24/09/2013 23:49	320	44100		MPEG audio file			2	18/12/2013 21:45			100	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Dub FX\Everythinks A Ripple\13 Love Me Or Not.mp3
DubstepFromYoutube	Emile					96691412	2979						26/12/2013 17:47	21/12/2013 23:10	256	44100		MPEG audio file					1	21/12/2013 23:11	100	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Unknown Artist\Unknown Album\Base.mp3
Mockingbird	Eminem	L. Resto/Luis Resto/M. Mathers/Marshall Mathers	Curtain Call		Rap	10090884	251	1		12		2005	13/09/2013 21:02	24/09/2013 23:49	320	44100		MPEG audio file		Cleaned by TuneUp!	13	3/01/2014 23:31	1	28/11/2013 1:46	100	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Eminem\Curtain Call\1-12 Mockingbird.mp3
